rule_id,process_family,category,rule_name,check_description,parameter,typical_threshold,units,rule_kind,severity_suggestion,guideline_ref,provenance,source_name,source_url,consulted_via,notes,date_collected
IM-011,Injection Moulding,Draft,Standard draft for typical surfaces,"Check general (non-textured, non-shutoff) vertical/near-vertical faces for the standard recommended draft.",draft_angle_typical,1–2,degrees,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Draft Angle Guidelines / Hubs Injection Molding Guide,https://www.protolabs.com/resources/design-tips/improving-part-moldability-with-draft/,web_research (Claude Sonnet agent),"Confirmed independently by Hubs (""2° minimum on all vertical walls"").",8/9/2026
IM-012,Injection Moulding,Draft,Draft scaling with feature depth,"For deep features/pockets, verify draft increases with pull depth per the 1°-per-25 mm (1° per inch) rule of thumb.",draft_angle_per_depth,+1° per 25.4 mm (1 inch) of depth,degrees/mm,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Draft Angle Guidelines / Hubs Injection Molding Guide,https://www.protolabs.com/resources/design-tips/improving-part-moldability-with-draft/,web_research (Claude Sonnet agent),"Hubs phrases the same rule as ""+1° per 25 mm""; treat as equivalent.",8/9/2026
IM-013,Injection Moulding,Draft,Minimum draft for metal-to-metal shutoffs,"Check faces that form a shutoff (mating steel-on-steel surface, e.g. hole cores through a wall) for minimum draft.",draft_angle_shutoff_min,3,degrees,quantitative,critical,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Injection Molding Design Guidelines,https://www.protolabs.com/services/injection-molding/plastic-injection-molding/design-guidelines/,web_research (Claude Sonnet agent),"Below this, shutoff steel wears rapidly and flash risk increases.",8/9/2026
IM-014,Injection Moulding,Draft,Additional draft for textured surfaces,"For faces flagged as textured/grained, verify draft meets the texture-depth-dependent minimum.",draft_angle_textured_min,"3° (light texture, e.g. PM-T1); 5°+ (heavy texture, e.g. PM-T2)",degrees,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Injection Molding Design Guidelines,https://www.protolabs.com/services/injection-molding/plastic-injection-molding/design-guidelines/,web_research (Claude Sonnet agent),See also the finer rule of +1.5° per 0.001 in (0.025 mm) of texture depth under Surface & Cosmetic.,8/9/2026
IM-015,Injection Moulding,Draft,Rib draft,Check the two side faces of every rib for minimum draft.,rib_draft_min,"0.5 (per side, minimum)",degrees,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Fictiv Injection Molding Design Guide / Hubs Injection Molding Guide,https://www.fictiv.com/articles/injection-molding-design-guide,web_research (Claude Sonnet agent),,8/9/2026
IM-016,Injection Moulding,Draft,Boss draft,Check both the outer and inner (bore) faces of every boss for minimum draft.,boss_draft_min,"0.5 (per side, inside and outside)",degrees,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Fictiv Injection Molding Design Guide,https://www.fictiv.com/articles/injection-molding-design-guide,web_research (Claude Sonnet agent),,8/9/2026
IM-017,Injection Moulding,Ribs,Rib thickness ratio to nominal wall,"At the rib base, measure rib thickness and compare to the thickness of the wall it intersects.",rib_thickness_ratio_max,0.5–0.6 (rib thickness / nominal wall thickness),ratio,quantitative,critical,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Fictiv Injection Molding Design Guide / Hubs / GD Prototyping,https://www.fictiv.com/articles/injection-molding-design-guide,web_research (Claude Sonnet agent),Exceeding this ratio is the single most common cause of visible sink marks opposite ribs.,8/9/2026
IM-018,Injection Moulding,Ribs,Rib height limit relative to wall thickness,Measure rib height (from base to tip) and compare to the thickness of the nominal wall it stands on.,rib_height_ratio_max,?3 (rib height / nominal wall thickness),ratio,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Fictiv Injection Molding Design Guide,https://www.fictiv.com/articles/injection-molding-design-guide,web_research (Claude Sonnet agent),"Hubs states a similar but differently-based limit (""height < 3× rib thickness"", i.e. based on the rib's own thickness rather than the nominal wall) — confirm which basis applies before hard-coding a checker threshold.",8/9/2026
IM-019,Injection Moulding,Ribs,Rib base fillet radius,Measure the fillet radius at the base of each rib and compare to rib thickness.,rib_base_fillet_ratio,0.25–0.5 (fillet radius / rib thickness),ratio,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Fictiv Injection Molding Design Guide / Hubs Injection Molding Guide,https://www.fictiv.com/articles/injection-molding-design-guide,web_research (Claude Sonnet agent),A too-small radius concentrates stress; too-large a radius effectively thickens the rib base and re-triggers the sink-mark rule.,8/9/2026
IM-020,Injection Moulding,Ribs,Rib spacing from walls and adjacent ribs,Measure clear spacing between a rib and adjacent ribs or the nearest perpendicular wall.,rib_spacing_min,?4 (spacing / rib thickness),ratio,quantitative,minor,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Hubs Injection Molding Guide,https://www.hubs.com/guides/injection-molding/,web_research (Claude Sonnet agent),Insufficient spacing causes localized heat/pack buildup between features and can produce localized sink or warp.,8/9/2026
IM-021,Injection Moulding,Ribs,Rib density / cumulative sink risk,"Assess whether the total ribbed area over a panel is dense enough that cumulative cooling non-uniformity is likely to cause visible surface distortion, even if individual ribs pass thickness/height checks.",rib_density_qualitative,,,qualitative,minor,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),Not a single geometric threshold — needs holistic review of rib layout versus part show-surface requirements.,8/9/2026
IM-022,Injection Moulding,Bosses,Boss outer diameter relative to fastener/insert,Measure the outer diameter of a boss designed to receive a screw or insert and compare to the fastener's major/insert diameter.,boss_od_ratio_min,?2.0 (boss OD / screw or insert diameter),ratio,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Hubs Injection Molding Guide,https://www.hubs.com/guides/injection-molding/,web_research (Claude Sonnet agent),,8/9/2026
IM-023,Injection Moulding,Bosses,Boss inner (bore) diameter for self-tapping screws,Measure the boss bore (pilot hole) diameter and compare to the fastener's core (root) diameter.,boss_bore_diameter,? screw core (root) diameter,mm,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Hubs Injection Molding Guide,https://www.hubs.com/guides/injection-molding/,web_research (Claude Sonnet agent),Undersized bores split the boss on assembly; oversized bores strip.,8/9/2026
IM-024,Injection Moulding,Bosses,Boss wall thickness relative to nominal wall,"Measure boss wall thickness (the annular wall around the bore, at its base) and compare to the nominal part wall it stands on.",boss_wall_ratio_max,?0.6 (boss wall thickness / nominal wall thickness),ratio,quantitative,critical,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Fictiv Sink Marks Troubleshooting Guide / GD Prototyping,https://www.fictiv.com/articles/troubleshooting-injection-molding-sink-marks,web_research (Claude Sonnet agent),Same sink-mark mechanism as ribs; ABS-specific guidance (GD Prototyping) cites 40–60%.,8/9/2026
IM-025,Injection Moulding,Bosses,Boss base fillet radius,Measure the fillet radius at the base of each boss relative to nominal wall thickness.,boss_base_fillet_ratio,?0.25 (fillet radius / nominal wall thickness),ratio,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Fictiv Sink Marks Troubleshooting Guide,https://www.fictiv.com/articles/troubleshooting-injection-molding-sink-marks,web_research (Claude Sonnet agent),,8/9/2026
IM-026,Injection Moulding,Bosses,Boss support to main wall,Check that free-standing bosses (not already attached to a wall) are connected to the nearest wall or panel via a gusset/rib rather than standing unsupported.,boss_support_qualitative,,,qualitative,minor,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Hubs Injection Molding Guide,https://www.hubs.com/guides/injection-molding/,web_research (Claude Sonnet agent),Unsupported tall bosses are prone to breakage in use and to incomplete fill/packing during moulding.,8/9/2026
IM-027,Injection Moulding,Fillets & Corners,Internal corner radius minimum,Measure the radius at every internal corner and compare to local wall thickness.,internal_radius_ratio_min,?0.5 (internal radius / wall thickness),ratio,quantitative,critical,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Fictiv Injection Molding Design Guide / GD Prototyping,https://www.fictiv.com/articles/injection-molding-design-guide,web_research (Claude Sonnet agent),,8/9/2026
IM-028,Injection Moulding,Fillets & Corners,External corner radius sizing,"Measure the radius at every external corner and verify it equals (internal radius + wall thickness), i.e. roughly 1.5× wall thickness when paired with a 0.5×-wall internal radius.",external_radius_ratio,?1.5 (external radius / wall thickness),ratio,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Fictiv Injection Molding Design Guide / Hubs Injection Molding Guide,https://www.fictiv.com/articles/injection-molding-design-guide,web_research (Claude Sonnet agent),Keeping external radius = internal radius + wall thickness preserves constant wall thickness around the corner.,8/9/2026
IM-029,Injection Moulding,Fillets & Corners,No unfilleted (sharp) internal corners,Flag any internal edge with zero or near-zero fillet radius (a true sharp corner) as a stress-concentration and fill/cosmetic defect risk.,sharp_corner_flag,radius > 0 mandatory at all internal corners,,qualitative,critical,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),Widely repeated across supplier guides as a general principle but not captured as an explicit numeric line item in the fetched pages.,8/9/2026
IM-030,Injection Moulding,Undercuts & Side Actions,Side-action (slide) maximum width,"For any undercut requiring a side-action/slide, measure the slide's engagement width and compare to the maximum supported by standard tooling.",side_action_width_max,< 213.8,mm,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Injection Molding Design Guidelines,https://www.protolabs.com/services/injection-molding/plastic-injection-molding/design-guidelines/,web_research (Claude Sonnet agent),"This is a Protolabs-published tooling/press limit, not a universal physical law — always confirm against the target manufacturer's press/mould-base size.",8/9/2026
IM-031,Injection Moulding,Undercuts & Side Actions,Side-action (slide) maximum height,"For any undercut requiring a side-action/slide, measure the slide height and compare to the maximum supported by standard tooling.",side_action_height_max,< 60.4,mm,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Injection Molding Design Guidelines,https://www.protolabs.com/services/injection-molding/plastic-injection-molding/design-guidelines/,web_research (Claude Sonnet agent),,8/9/2026
IM-032,Injection Moulding,Undercuts & Side Actions,Side-action maximum pull distance,Measure the travel distance the slide/side-action must retract to clear the undercut and compare to the maximum supported pull distance.,side_action_pull_max,< 73.7,mm,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Injection Molding Design Guidelines,https://www.protolabs.com/services/injection-molding/plastic-injection-molding/design-guidelines/,web_research (Claude Sonnet agent),,8/9/2026
IM-033,Injection Moulding,Undercuts & Side Actions,Side-action travel clearance,"Verify the slide/lifter has an unobstructed, perpendicular (typically 90° to the pull direction) travel path with no interference from surrounding geometry, other slides, or the ejector system.",side_action_clearance_qualitative,,,qualitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Hubs Injection Molding Guide,https://www.hubs.com/guides/injection-molding/,web_research (Claude Sonnet agent),"Side actions typically add 15–30% to tooling cost per the same source — worth flagging as a cost-relevant design decision, not just feasibility.",8/9/2026
IM-034,Injection Moulding,Undercuts & Side Actions,Undercut ejection via material flex (snap-fits / draftless bumps),"For shallow undercuts intended to strip directly from the mould (no side action), verify undercut depth stays within the material's safe elastic strain limit for the local wall thickness so the part can flex over the undercut on ejection.",snap_undercut_strain_limit,material- and geometry-dependent; commonly cited ceiling ~5% of hole/undercut diameter for engineering thermoplastics,%,quantitative_not_yet_computable,major,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),"Requires material elongation-at-break data plus local geometry, not resolvable from CAD geometry alone; qualitative guidance on flexible-material snap-fits was found (Hubs) but no numeric strain limit was published in the fetched sources.",8/9/2026
IM-035,Injection Moulding,Holes & Cores,Blind hole depth-to-diameter ratio,"For holes formed by an unsupported core pin from one side only, measure depth and diameter and compute the ratio.",blind_hole_depth_to_diameter_max,?2:1 (unsupported core); higher ratios need core support or become a stepped/tapered core,ratio,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),Common mould-design rule of thumb; not found stated numerically in the fetched supplier pages.,8/9/2026
IM-036,Injection Moulding,Holes & Cores,Through-hole depth-to-diameter ratio,"For through-holes formed by cores supported from both sides (or by core + counter-core), measure depth and diameter and compute the ratio.",through_hole_depth_to_diameter_max,?4–6:1 (supported core),ratio,quantitative,minor,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),Common mould-design rule of thumb; not found stated numerically in the fetched supplier pages.,8/9/2026
IM-037,Injection Moulding,Holes & Cores,Minimum edge distance from hole to part boundary,Measure the shortest distance from a hole edge to the nearest part edge or intersecting wall.,hole_edge_distance_min,"?1× hole diameter, and ?2× local wall thickness",ratio,quantitative,minor,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),"Prevents thin webs around the hole from short-shotting or cracking; common practice, not found as an explicit numeric line in the fetched sources.",8/9/2026
IM-038,Injection Moulding,Holes & Cores,Slender core pin support,"Flag small-diameter, deep core pins (forming small-diameter deep holes/blind bosses) that lack adequate depth-to-diameter margin, since they are prone to bending/breaking under injection pressure (""pin push"").",core_pin_slenderness_qualitative,,,qualitative,minor,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),Tooling-side risk flagged qualitatively; ties directly to the blind-hole depth-to-diameter rule above.,8/9/2026
IM-039,Injection Moulding,Holes & Cores,Hole placement relative to gate / weld-line convergence,"Check whether a hole (which locally displaces flow around a core pin, creating a weld line downstream) sits in a region already flagged as a predicted weld-line convergence zone, compounding a local weak spot.",hole_weldline_proximity_qualitative,,,qualitative,minor,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Fictiv Weld Lines Troubleshooting Guide,https://www.fictiv.com/articles/troubleshooting-injection-molding-weld-lines,web_research (Claude Sonnet agent),"Source discusses weld-line mitigation qualitatively (gate relocation, thinner walls, temperature); no numeric proximity threshold was published.",8/9/2026
IM-040,Injection Moulding,Gates & Runners,Gate depth as fraction of wall thickness,"Measure gate depth (land thickness) at the gate and compare to the local part wall thickness it feeds, using the appropriate percentage band for the resin's flow characteristics.",gate_depth_ratio,"40–50% (low-viscosity, e.g. PE, nylon); 50–60% (medium-flow); 60–70% (high-viscosity, e.g. acrylic, rigid PVC)",ratio,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,"Plastics Technology – Sizing Gates, Runners and Sprues",https://www.ptonline.com/blog/post/part-1-how-to-properly-size-gates-runners-and-sprues,web_research (Claude Sonnet agent),"Use the lower end of the band for thin-walled parts, the higher end for thick-walled parts (need longer pack time).",8/9/2026
IM-041,Injection Moulding,Gates & Runners,Gate width sizing,"Compute recommended initial gate width from cavity projected area and a material-dependent constant, and compare to the as-designed gate width.",gate_width_formula,"W = n × sqrt(A) / 30, where n = 0.6–0.9 (material constant), A = cavity area (in²), W in inches",mm,quantitative_not_yet_computable,minor,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,"Plastics Technology – Sizing Gates, Runners and Sprues",https://www.ptonline.com/blog/post/part-1-how-to-properly-size-gates-runners-and-sprues,web_research (Claude Sonnet agent),"Formula is computable from geometry (cavity projected area) but requires a material-constant lookup table per resin family; source explicitly calls the older ""width = 2× depth"" rule of thumb unreliable.",8/9/2026
IM-042,Injection Moulding,Gates & Runners,Gate location to control weld-line position,"Check whether the proposed gate location(s) and part geometry are predicted to push resulting weld/knit lines into cosmetically or structurally critical zones, and flag if so.",gate_weldline_control_qualitative,,,qualitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Fictiv Weld Lines Troubleshooting Guide,https://www.fictiv.com/articles/troubleshooting-injection-molding-weld-lines,web_research (Claude Sonnet agent),Article gives a worked example (repositioning a gate to move the weld line to a hidden face) but no quantitative rule; true prediction needs mould-flow simulation (see Warpage & Sink category).,8/9/2026
IM-043,Injection Moulding,Gates & Runners,Balanced / symmetric fill pattern from gate location,"For multi-cavity or geometrically symmetric parts, check that gate placement yields symmetric flow-front travel distances so cavities/features fill and pack evenly.",gate_fill_balance_qualitative,,,qualitative,major,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),Standard mould-design principle; not captured with numeric thresholds in the fetched sources.,8/9/2026
IM-044,Injection Moulding,Gates & Runners,Runner diameter relative to part wall thickness,Measure runner cross-section (diameter for round/trapezoidal runners) and compare to the thickest downstream part wall it feeds.,runner_diameter_ratio,"runner diameter typically ? thickest fed wall section, commonly 4–8 mm for general commercial parts",mm,quantitative,minor,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),General mould-design practice; not found as an explicit numeric rule in the fetched sources — verify against the moulder's own runner-sizing standard.,8/9/2026
IM-045,Injection Moulding,Gates & Runners,Cold-slug well at runner/sprue junctions,Check that a cold-slug well (small extension trapping the initially-cooled resin front) is present opposite each sprue/runner junction to prevent cold material from entering the cavity.,cold_slug_well_presence_qualitative,,,qualitative,minor,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),Standard tool-design feature; qualitative check only.,8/9/2026
IM-046,Injection Moulding,Ejection,Ejector pin placement away from cosmetic (Class-A) surfaces,"Flag any predicted ejector-pin contact zone (typically flat, non-cosmetic bosses, ribs, or shut-off pads) that falls on a surface designated as a visible/cosmetic (Class-A) face.",ejector_pin_cosmetic_conflict_qualitative,,,qualitative,major,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),Standard mould-design practice; requires a Class-A/cosmetic-surface tag on the CAD model to check automatically.,8/9/2026
IM-047,Injection Moulding,Ejection,"Ejector pin placement on ribs, bosses, or reinforced pads","Verify ejector pins are planned to land on structurally robust features (rib tops, boss bottoms, thickened pads) rather than thin, unsupported wall sections.",ejector_pin_support_qualitative,,,qualitative,major,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),"Ejecting from thin, unsupported walls causes pin push-through, whitening, or deformation.",8/9/2026
IM-048,Injection Moulding,Ejection,Adequate draft/geometry for ejection force,"For tall ribs/bosses or deep-textured pockets, cross-check that draft and height combine to keep predicted ejection force within a safe margin (i.e. draft satisfies the depth-scaling rule for the feature's actual height).",ejection_force_margin_flag,flag if feature height exceeds the depth-scaled draft requirement (see Draft category),,quantitative_not_yet_computable,major,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),"Composite check built from the published draft-vs-depth and rib/boss-height rules; true ejection force also depends on material friction coefficient and surface finish, which are not purely geometric.",8/9/2026
IM-049,Injection Moulding,Surface & Cosmetic,Additional draft for texture depth,"For any face flagged as textured, verify draft includes the extra allowance proportional to texture depth.",texture_draft_addition,+1.5° per 0.001 in (0.025 mm) of texture depth,degrees/mm,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Fictiv Injection Molding Design Guide,https://www.fictiv.com/articles/injection-molding-design-guide,web_research (Claude Sonnet agent),"Applied on top of the base draft angle for the surface, not in place of it.",8/9/2026
IM-050,Injection Moulding,Surface & Cosmetic,Minimum embossed lettering height and size,Measure the raised height and font size of any embossed text/logo feature.,embossed_text_height_min,?0.5 mm height; ?20 pt equivalent font size,mm,quantitative,minor,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Hubs Injection Molding Guide,https://www.hubs.com/guides/injection-molding/,web_research (Claude Sonnet agent),Embossed (raised) text is preferred over engraved (recessed) text as it is cheaper to cut into the mould and more durable in use.,8/9/2026
IM-051,Injection Moulding,Surface & Cosmetic,Parting line placement away from cosmetic show surfaces,"Check whether the predicted parting line crosses a face designated as a Class-A/show surface, and flag if so.",parting_line_cosmetic_conflict_qualitative,,,qualitative,minor,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),Requires a Class-A surface tag; standard DFM practice to route parting lines to edges/non-visible transitions.,8/9/2026
IM-052,Injection Moulding,Surface & Cosmetic,Gate vestige location away from cosmetic show surfaces,"Check whether the planned gate location (and resulting gate vestige/witness mark after trimming) falls on a Class-A/show surface, and flag if so.",gate_vestige_cosmetic_conflict_qualitative,,,qualitative,minor,published DFM practice (supplier design guides) — no ISO equivalent,llm_suggested_unverified,,,llm_knowledge (Claude Sonnet),Standard DFM practice; requires Class-A surface tagging to automate.,8/9/2026
IM-053,Injection Moulding,Warpage & Sink,Sink mark risk from oversized ribs/bosses,Flag any rib or boss whose base thickness exceeds 60% of the nominal wall it stands on as a likely visible sink-mark location on the opposite (cosmetic) face.,sink_mark_risk_ratio,flag if rib/boss thickness > 0.6× nominal wall thickness,ratio,quantitative,critical,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Fictiv Sink Marks Troubleshooting Guide,https://www.fictiv.com/articles/troubleshooting-injection-molding-sink-marks,web_research (Claude Sonnet agent),"Directly restates the Ribs/Bosses thickness-ratio rules, applied specifically as a sink-mark predictor.",8/9/2026
IM-054,Injection Moulding,Warpage & Sink,Wall-thickness uniformity as a warpage driver,"Scan the part for regions where adjacent wall thickness ratio falls outside 40–60%, since these thickness steps drive differential cooling/shrinkage and are the leading geometric cause of warpage.",warp_risk_from_wall_ratio,flag if adjacent-wall ratio outside 0.4–0.6,ratio,quantitative,major,published DFM practice (supplier design guides) — no ISO equivalent,published_practice,Protolabs Wall Thickness Design Tips,https://www.protolabs.com/resources/design-tips/improving-part-design-with-uniform-wall-thickness/,web_research (Claude Sonnet agent),"Same underlying metric as the Wall Thickness category rule, re-applied as a warpage predictor.",8/9/2026
